pe,latency_ms_mean,latency_ms_std,success_rate,deadline_ok
0,10.5592,2.38032e-13,1,1
0.00625,10.7792,0.93787,1,1
0.0125,11.0452,1.39564,1,1
0.01875,11.2852,1.73232,1,1
0.025,11.4972,1.9535,1,1
0.03125,11.7212,2.15076,1,1
0.0375,11.9952,2.41369,1,1
0.04375,12.2792,2.71028,1,1
0.05,12.4952,2.81352,1,1
0.05625,12.6552,3.07616,1,1
0.0625,13.0152,3.2447,1,1
0.06875,13.2672,3.42385,1,1
0.075,13.4332,3.49458,1,1
0.08125,13.7632,3.72752,1,1
0.0875,14.0332,3.90325,1,1
0.09375,14.2432,3.89206,1,1
0.1,14.5972,4.1922,1,1
0.10625,14.7492,4.50465,1,1
0.1125,15.0612,4.48062,1,1
0.11875,15.4772,4.82299,1,1
0.125,15.7132,4.89288,1,1
0.13125,15.9352,5.05595,0.9995,1
0.1375,16.2132,5.07309,1,1
0.14375,16.6172,5.42703,1,1
0.15,17.0292,5.56301,0.9995,1
0.15625,17.2412,5.52656,1,1
0.1625,17.7892,5.79992,0.999,1
0.16875,18.0512,6.08457,0.9995,1
0.175,18.2892,6.10042,1,1
0.18125,18.5112,6.42851,1,1
0.1875,18.7712,6.11122,1,1
0.19375,19.0112,6.45009,0.9995,1
0.2,19.1712,6.44434,0.9995,1
0.20625,19.9872,6.94153,0.9995,1
0.2125,20.2012,6.93742,0.999,1
0.21875,20.5232,7.2221,0.9985,1
0.225,21.1252,7.34518,0.999,1
0.23125,21.2952,7.60857,0.995,1
0.2375,21.7492,7.50945,0.998,1
0.24375,22.1612,7.75897,0.9965,1
0.25,22.5952,7.96082,0.9945,1
