param,throughput_tx_per_sec,cpu_util_pct
1,0,0
2,0,0
3,333.333,0.52
4,250,0.39
5,200,0.312
6,166.667,0.26
7,142.857,0.222857
8,125,0.195
9,111.111,0.173333
10,100,0.156
11,90.9091,0.141818
12,83.3333,0.13
13,76.9231,0.12
14,71.4286,0.111429
15,66.6667,0.104
16,62.5,0.0975
17,58.8235,0.0917647
18,55.5556,0.0866667
19,52.6316,0.0821053
20,50,0.078
21,47.619,0.0742857
22,45.4545,0.0709091
23,43.4783,0.0678261
24,41.6667,0.065
25,40,0.0624
