pe,latency_ms_mean,latency_ms_std,success_rate,deadline_ok
0,5.5592,1.73195e-13,1,1
0.00625,5.6532,0.605941,1,1
0.0125,5.7352,0.849131,1,1
0.01875,5.8852,1.13036,1,1
0.025,5.9392,1.27106,1,1
0.03125,6.1112,1.4857,1,1
0.0375,6.2112,1.64161,1,1
0.04375,6.3412,1.88586,1,1
0.05,6.3492,1.86116,1,1
0.05625,6.5452,2.02677,1,1
0.0625,6.6092,2.0769,1,1
0.06875,6.7312,2.19144,1,1
0.075,6.7972,2.29681,1,1
0.08125,6.9672,2.36337,1,1
0.0875,7.0452,2.53768,1,1
0.09375,7.2832,2.74587,1,1
0.1,7.3452,2.77168,1,1
0.10625,7.5172,2.90349,1,1
0.1125,7.6612,3.07597,1,1
0.11875,7.7772,3.21255,1,1
0.125,7.7932,3.15614,1,1
0.13125,7.9872,3.27793,1,1
0.1375,8.1772,3.40383,1,1
0.14375,8.3612,3.57279,1,1
0.15,8.3672,3.64021,1,1
0.15625,8.6272,3.85063,1,1
0.1625,8.5932,3.83704,1,1
0.16875,8.7872,3.89205,1,1
0.175,8.9292,4.02332,1,1
0.18125,9.1712,4.17917,1,1
0.1875,9.2232,4.28008,1,1
0.19375,9.4892,4.3122,1,1
0.2,9.4072,4.34614,1,1
0.20625,9.7152,4.51748,1,1
0.2125,9.7972,4.67155,1,1
0.21875,10.0312,4.79846,1,1
0.225,10.2752,4.95897,1,1
0.23125,10.1232,4.76171,1,1
0.2375,10.6332,5.13561,1,1
0.24375,10.6092,5.26968,1,1
0.25,10.9632,5.34236,1,1
