param,throughput_tx_per_sec,cpu_util_pct
1,1000,2.21
2,500,1.105
3,333.333,0.736667
4,250,0.5525
5,200,0.442
6,166.667,0.368333
7,142.857,0.315714
8,125,0.27625
9,111.111,0.245556
10,100,0.221
11,90.9091,0.200909
12,83.3333,0.184167
13,76.9231,0.17
14,71.4286,0.157857
15,66.6667,0.147333
16,62.5,0.138125
17,58.8235,0.13
18,55.5556,0.122778
19,52.6316,0.116316
20,50,0.1105
21,47.619,0.105238
22,45.4545,0.100455
23,43.4783,0.096087
24,41.6667,0.0920833
25,40,0.0884
