param,throughput_tx_per_sec,cpu_util_pct
1,0,0
2,0,0
3,333.333,0.83
4,250,0.6225
5,200,0.498
6,166.667,0.415
7,142.857,0.355714
8,125,0.31125
9,111.111,0.276667
10,100,0.249
11,90.9091,0.226364
12,83.3333,0.2075
13,76.9231,0.191538
14,71.4286,0.177857
15,66.6667,0.166
16,62.5,0.155625
17,58.8235,0.146471
18,55.5556,0.138333
19,52.6316,0.131053
20,50,0.1245
21,47.619,0.118571
22,45.4545,0.113182
23,43.4783,0.108261
24,41.6667,0.10375
25,40,0.0996
